"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Ethnic origin population","      Kenyan",,   10915,,    5230,,    5685,,   10915,,    5230,,    5685,
"Ethnic origin population","      Malagasy",,    4500,,    2175,,    2325,,    4500,,    2175,,    2325,
"Ethnic origin population","      Mauritian",,    9325,,    4655,,    4665,,    9325,,    4655,,    4665,
"Ethnic origin population","      Oromo",,    3350,,    1745,,    1605,,    3350,,    1745,,    1605,
"Ethnic origin population","      Rwandan",,   10775,,    5065,,    5705,,   10775,,    5065,,    5705,
"Ethnic origin population","      Seychellois",,    1285,,     575,,     710,,    1285,,     575,,     710,
"Ethnic origin population","      Somali",,   62550,,   30215,,   32330,,   62550,,   30215,,   32330,
"Ethnic origin population","      South African",,   41375,,   20575,,   20800,,   41375,,   20575,,   20800,
"Ethnic origin population","      Tanzanian",,    4710,,    2400,,    2310,,    4710,,    2400,,    2310,
"Ethnic origin population","      Tigrian",,    2155,,    1160,,     995,,    2155,,    1160,,     995,
"Ethnic origin population","      Ugandan",,    5705,,    2875,,    2830,,    5705,,    2875,,    2830,
"Ethnic origin population","      Zambian",,    1860,,     935,,     920,,    1860,,     935,,     920,
"Ethnic origin population","      Zimbabwean",,    8090,,    3975,,    4110,,    8090,,    3975,,    4110,
"Ethnic origin population","      Zulu",,     945,,     475,,     475,,     945,,     475,,     475,
"Ethnic origin population","      Southern and East African origins; n.i.e.",120,   17305,,    8445,,    8860,,   17305,,    8445,,    8860,
"Ethnic origin population","    Other African origins",,  239560,,  116400,,  123165,,  239560,,  116400,,  123165,
"Ethnic origin population","      Black; n.o.s.",121,   30385,,   14015,,   16370,,   30385,,   14015,,   16370,
"Ethnic origin population","      Other African origins; n.i.e.",122,  212005,,  103790,,  108215,,  212005,,  103790,,  108215,
"Ethnic origin population","  Asian origins",, 6095235,, 2958120,, 3137115,, 6095235,, 2958120,, 3137115,
"Ethnic origin population","    West Central Asian and Middle Eastern origins",, 1011145,,  518170,,  492980,, 1011145,,  518170,,  492980,
"Ethnic origin population","      Afghan",,   83995,,   42320,,   41675,,   83995,,   42320,,   41675,
"Ethnic origin population","      Arab; n.o.s.",123,  111400,,   58930,,   52475,,  111400,,   58930,,   52475,
"Ethnic origin population","      Armenian",,   63810,,   31505,,   32305,,   63810,,   31505,,   32305,
"Ethnic origin population","      Assyrian",,   13835,,    7115,,    6720,,   13835,,    7115,,    6720,
"Ethnic origin population","      Azerbaijani",,    6425,,    3230,,    3200,,    6425,,    3230,,    3200,
"Ethnic origin population","      Georgian",,    4775,,    2430,,    2345,,    4775,,    2430,,    2345,
"Ethnic origin population","      Hazara",,    1515,,     810,,     705,,    1515,,     810,,     705,
"Ethnic origin population","      Iranian",,  210405,,  106565,,  103840,,  210405,,  106565,,  103840,
"Ethnic origin population","      Iraqi",,   70925,,   35965,,   34955,,   70925,,   35965,,   34955,
"Ethnic origin population","      Israeli",,   28735,,   15065,,   13675,,   28735,,   15065,,   13675,
"Ethnic origin population","      Jordanian",,   14250,,    7520,,    6735,,   14250,,    7520,,    6735,
"Ethnic origin population","      Kazakh",,    3330,,    1615,,    1710,,    3330,,    1615,,    1710,
"Ethnic origin population","      Kurd",,   16315,,    8810,,    7515,,   16315,,    8810,,    7515,
"Ethnic origin population","      Kuwaiti",,    2235,,    1185,,    1055,,    2235,,    1185,,    1055,
"Ethnic origin population","      Kyrgyz",,    1060,,     510,,     550,,    1060,,     510,,     550,
"Ethnic origin population","      Lebanese",,  219555,,  112970,,  106590,,  219555,,  112970,,  106590,
"Ethnic origin population","      Palestinian",,   44820,,   23900,,   20920,,   44820,,   23900,,   20920,
"Ethnic origin population","      Pashtun",,    4810,,    2565,,    2245,,    4810,,    2565,,    2245,
"Ethnic origin population","      Saudi Arabian",,    6810,,    3935,,    2880,,    6810,,    3935,,    2880,
"Ethnic origin population","      Syrian",,   77045,,   38445,,   38600,,   77045,,   38445,,   38600,
"Ethnic origin population","      Tajik",,    2905,,    1410,,    1495,,    2905,,    1410,,    1495,
"Ethnic origin population","      Tatar",,    4825,,    2155,,    2670,,    4825,,    2155,,    2670,
"Ethnic origin population","      Turk",,   63955,,   32855,,   31100,,   63955,,   32855,,   31100,
"Ethnic origin population","      Turkmen",,    1040,,     540,,     500,,    1040,,     540,,     500,
"Ethnic origin population","      Uighur",,    1555,,     775,,     785,,    1555,,     775,,     785,
"Ethnic origin population","      Uzbek",,    3920,,    1920,,    2000,,    3920,,    1920,,    2000,
"Ethnic origin population","      Yemeni",,    6645,,    3335,,    3305,,    6645,,    3335,,    3305,
"Ethnic origin population","      West Central Asian and Middle Eastern origins; n.i.e.",124,   25280,,   13180,,   12100,,   25280,,   13180,,   12100,
"Ethnic origin population","    South Asian origins",, 1963330,,  993595,,  969735,, 1963330,,  993595,,  969735,
"Ethnic origin population","      Bangladeshi",,   45940,,   23645,,   22300,,   45940,,   23645,,   22300,
"Ethnic origin population","      Bengali",,   22900,,   11730,,   11180,,   22900,,   11730,,   11180,
"Ethnic origin population","      Bhutanese",,    3600,,    1765,,    1835,,    3600,,    1765,,    1835,
"Ethnic origin population","      East Indian",, 1374710,,  694990,,  679720,, 1374710,,  694990,,  679720,
"Ethnic origin population","      Goan",,    6070,,    2915,,    3155,,    6070,,    2915,,    3155,
"Ethnic origin population","      Gujarati",,    8350,,    4305,,    4050,,    8350,,    4305,,    4050,
"Ethnic origin population","      Kashmiri",,    3115,,    1605,,    1510,,    3115,,    1605,,    1510,
"Ethnic origin population","      Nepali",,   17140,,    8715,,    8420,,   17140,,    8715,,    8420,
"Ethnic origin population","      Pakistani",,  215555,,  110420,,  105140,,  215555,,  110420,,  105140,
"Ethnic origin population","      Punjabi",,  118400,,   61155,,   57240,,  118400,,   61155,,   57240,
"Ethnic origin population","      Sinhalese",,    7285,,    3605,,    3685,,    7285,,    3605,,    3685,
"Ethnic origin population","      Sri Lankan",,  152595,,   75010,,   77585,,  152595,,   75010,,   77585,
"Ethnic origin population","      Tamil",,   48670,,   24845,,   23825,,   48670,,   24845,,   23825,
"Ethnic origin population","      South Asian origins; n.i.e.",125,   76400,,   38815,,   37585,,   76400,,   38815,,   37585,
"Ethnic origin population","    East and Southeast Asian origins",, 3163360,, 1467205,, 1696155,, 3163360,, 1467205,, 1696155,
"Ethnic origin population","      Burmese",,    9335,,    4535,,    4795,,    9335,,    4535,,    4795,
"Ethnic origin population","      Cambodian (Khmer)",,   38490,,   18515,,   19980,,   38490,,   18515,,   19980,
"Ethnic origin population","      Chinese",, 1769195,,  836150,,  933045,, 1769195,,  836150,,  933045,
"Ethnic origin population","      Filipino",,  837130,,  369105,,  468025,,  837130,,  369105,,  468025,
"Ethnic origin population","      Hmong",,     805,,     420,,     390,,     805,,     420,,     390,
"Ethnic origin population","      Indonesian",,   21390,,    9950,,   11440,,   21390,,    9950,,   11440,
"Ethnic origin population","      Japanese",,  121485,,   53415,,   68070,,  121485,,   53415,,   68070,
"Ethnic origin population","      Karen",,    4510,,    2275,,    2240,,    4510,,    2275,,    2240,
"Ethnic origin population","      Korean",,  198210,,   93680,,  104525,,  198210,,   93680,,  104525,
"Ethnic origin population","      Laotian",,   24580,,   12190,,   12390,,   24580,,   12190,,   12390,
"Ethnic origin population","      Malaysian",,   16920,,    7735,,    9185,,   16920,,    7735,,    9185,
"Ethnic origin population","      Mongolian",,    7480,,    3560,,    3915,,    7480,,    3560,,    3915,
"Ethnic origin population","      Singaporean",,    2850,,    1325,,    1520,,    2850,,    1325,,    1520,
"Ethnic origin population","      Taiwanese",,   36510,,   16570,,   19945,,   36510,,   16570,,   19945,
"Ethnic origin population","      Thai",,   19010,,    7330,,   11680,,   19010,,    7330,,   11680,
"Ethnic origin population","      Tibetan",,    8040,,    4055,,    3985,,    8040,,    4055,,    3985,
"Ethnic origin population","      Vietnamese",,  240615,,  115935,,  124680,,  240615,,  115935,,  124680,
"Ethnic origin population","      East and Southeast Asian origins; n.i.e.",126,    6500,,    3150,,    3355,,    6500,,    3150,,    3355,
"Ethnic origin population","    Other Asian origins",,   22745,,   11280,,   11460,,   22745,,   11280,,   11460,
"Ethnic origin population","      Other Asian origins; n.i.e.",127,   22740,,   11280,,   11460,,   22740,,   11280,,   11460,
"Ethnic origin population","  Oceania origins",,   85470,,   43030,,   42440,,   85470,,   43030,,   42440,
"Ethnic origin population","    Australian",,   42315,,   21710,,   20605,,   42315,,   21710,,   20605,
"Ethnic origin population","    New Zealander",,   15395,,    8065,,    7330,,   15395,,    8065,,    7330,
"Ethnic origin population","    Pacific Islands origins",,   29485,,   14240,,   15250,,   29485,,   14240,,   15250,
"Ethnic origin population","      Fijian",,   19375,,    9280,,   10090,,   19375,,    9280,,   10090,
"Ethnic origin population","      Hawaiian",,    3295,,    1500,,    1795,,    3295,,    1500,,    1795,
"Ethnic origin population","      Maori",,    2500,,    1310,,    1195,,    2500,,    1310,,    1195,
"Ethnic origin population","      Polynesian; n.o.s.",128,    1530,,     725,,     805,,    1530,,     725,,     805,
"Ethnic origin population","      Samoan",,    1100,,     625,,     475,,    1100,,     625,,     475,
"Ethnic origin population","      Pacific Islands origins; n.i.e.",129,    2335,,    1145,,    1185,,    2335,,    1145,,    1185,
"Household characteristics","Total - Private households by tenure - 25% sample data",130,14072075,,,...,,...,14072075,,,...,,...
"Household characteristics","  Owner",, 9541320,,,...,,..., 9541320,,,...,,...
"Household characteristics","  Renter",, 4474530,,,...,,..., 4474530,,,...,,...
"Household characteristics","  Band housing",,   56230,,,...,,...,   56230,,,...,,...
"Household characteristics","Total - Occupied private dwellings by condominium status - 25% sample data",131,14072075,,,...,,...,14072075,,,...,,...
"Household characteristics","  Condominium",, 1874840,,,...,,..., 1874840,,,...,,...
"Household characteristics","  Not condominium",,12197240,,,...,,...,12197240,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of bedrooms - 25% sample data",132,14072080,,,...,,...,14072080,,,...,,...
"Household characteristics","  No bedrooms",,   93345,,,...,,...,   93345,,,...,,...
"Household characteristics","  1 bedroom",, 1925015,,,...,,..., 1925015,,,...,,...
"Household characteristics","  2 bedrooms",, 3547090,,,...,,..., 3547090,,,...,,...
"Household characteristics","  3 bedrooms",, 4836485,,,...,,..., 4836485,,,...,,...
"Household characteristics","  4 or more bedrooms",, 3670145,,,...,,..., 3670145,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of rooms - 25% sample data",133,14072075,,,...,,...,14072075,,,...,,...
"Household characteristics","  1 to 4 rooms",, 4068915,,,...,,..., 4068915,,,...,,...
"Household characteristics","  5 rooms",, 2177045,,,...,,..., 2177045,,,...,,...
"Household characteristics","  6 rooms",, 1981585,,,...,,..., 1981585,,,...,,...
"Household characteristics","  7 rooms",, 1790180,,,...,,..., 1790180,,,...,,...
"Household characteristics","  8 or more rooms",, 4054355,,,...,,..., 4054355,,,...,,...
"Household characteristics","Average number of rooms per dwelling",,  6.2,,,...,,...,  6.2,,,...,,...
"Household characteristics","Total - Private households by number of persons per room - 25% sample data",134,14072080,,,...,,...,14072080,,,...,,...
"Household characteristics","  One person or fewer per room",,13802060,,,...,,...,13802060,,,...,,...
"Household characteristics","  More than 1 person per room",,  270020,,,...,,...,  270020,,,...,,...
"Household characteristics","Total - Private households by housing suitability - 25% sample data",135,14072075,,,...,,...,14072075,,,...,,...
"Household characteristics","  Suitable",,13376345,,,...,,...,13376345,,,...,,...
"Household characteristics","  Not suitable",,  695730,,,...,,...,  695730,,,...,,...
"Household characteristics","Total - Occupied private dwellings by period of construction - 25% sample data",136,14072080,,,...,,...,14072080,,,...,,...
"Household characteristics","  1960 or before",, 3126380,,,...,,..., 3126380,,,...,,...
"Household characteristics","  1961 to 1980",, 4185510,,,...,,..., 4185510,,,...,,...
"Household characteristics","  1981 to 1990",, 1977640,,,...,,..., 1977640,,,...,,...
"Household characteristics","  1991 to 2000",, 1746390,,,...,,..., 1746390,,,...,,...
"Household characteristics","  2001 to 2005",,  976390,,,...,,...,  976390,,,...,,...
"Household characteristics","  2006 to 2010",, 1089750,,,...,,..., 1089750,,,...,,...
"Household characteristics","  2011 to 2016",137,  970015,,,...,,...,  970015,,,...,,...
"Household characteristics","Total - Occupied private dwellings by dwelling condition - 25% sample data",138,14072080,,,...,,...,14072080,,,...,,...
"Household characteristics","  Only regular maintenance or minor repairs needed",,13151600,,,...,,...,13151600,,,...,,...
"Household characteristics","  Major repairs needed",,  920480,,,...,,...,  920480,,,...,,...
"Household characteristics","Total - Private households by number of household maintainers - 25% sample data",139,14072080,,,...,,...,14072080,,,...,,...
"Household characteristics","  1 household maintainer",, 8324865,,,...,,..., 8324865,,,...,,...
"Household characteristics","  2 household maintainers",, 5404800,,,...,,..., 5404800,,,...,,...
"Household characteristics","  3 or more household maintainers",,  342415,,,...,,...,  342415,,,...,,...
"Household characteristics","Total - Private households by age of primary household maintainers - 25% sample data",140,14072080,,,...,,...,14072080,,,...,,...
"Household characteristics","  15 to 24 years",,  437230,,,...,,...,  437230,,,...,,...
"Household characteristics","  25 to 34 years",, 1991685,,,...,,..., 1991685,,,...,,...
"Household characteristics","  35 to 44 years",, 2414920,,,...,,..., 2414920,,,...,,...
"Household characteristics","  45 to 54 years",, 2862870,,,...,,..., 2862870,,,...,,...
"Household characteristics","  55 to 64 years",, 2859315,,,...,,..., 2859315,,,...,,...
"Household characteristics","  65 to 74 years",, 2034220,,,...,,..., 2034220,,,...,,...
"Household characteristics","  75 to 84 years",, 1084700,,,...,,..., 1084700,,,...,,...
"Household characteristics","  85 years and over",,  387135,,,...,,...,  387135,,,...,,...
"Household characteristics","Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",141,13798305,,,...,,...,13798305,,,...,,...
"Household characteristics","  Spending less than 30% of income on shelter costs",,10472355,,,...,,...,10472355,,,...,,...
"Household characteristics","  Spending 30% or more of income on shelter costs",, 3325950,,,...,,..., 3325950,,,...,,...
"Household characteristics","    30% to less than 100%",, 2861615,,,...,,..., 2861615,,,...,,...
"Household characteristics","Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data",, 9368330,,,...,,..., 9368330,,,...,,...
"Household characteristics","  % of owner households with a mortgage",142, 60.7,,,...,,..., 60.7,,,...,,...
"Household characteristics","  % of owner households spending 30% or more of its income on shelter costs",141, 16.6,,,...,,..., 16.6,,,...,,...
"Household characteristics","  Median monthly shelter costs for owned dwellings ($)",143,    1130,,,...,,...,    1130,,,...,,...
"Household characteristics","  Average monthly shelter costs for owned dwellings ($)",143,    1313,,,...,,...,    1313,,,...,,...
"Household characteristics","  Median value of dwellings ($)",144,  341556,,,...,,...,  341556,,,...,,...
"Household characteristics","  Average value of dwellings ($)",144,  443058,,,...,,...,  443058,,,...,,...
"Household characteristics","Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data",, 4452850,,,...,,..., 4452850,,,...,,...
"Household characteristics","  % of tenant households in subsidized housing",145, 13.0,,,...,,..., 13.0,,,...,,...
"Household characteristics","  % of tenant households spending 30% or more of its income on shelter costs",141, 40.0,,,...,,..., 40.0,,,...,,...
"Household characteristics","  Median monthly shelter costs for rented dwellings ($)",143,     910,,,...,,...,     910,,,...,,...
"Household characteristics","  Average monthly shelter costs for rented dwellings ($)",143,    1002,,,...,,...,    1002,,,...,,...
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data",146,28643015,,13990435,,14652580,,28643015,,13990435,,14652580,
" Highest certificate; diploma or degree","  No certificate; diploma or degree",, 5239575,, 2667995,, 2571585,, 5239575,, 2667995,, 2571585,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147, 7576400,, 3686630,, 3889770,, 7576400,, 3686630,, 3889770,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,15827040,, 7635805,, 8191230,,15827040,, 7635805,, 8191230,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",, 2800260,, 1906610,,  893650,, 2800260,, 1906610,,  893650,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148, 1549880,,  880365,,  669515,, 1549880,,  880365,,  669515,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149, 1250385,, 1026250,,  224140,, 1250385,, 1026250,,  224140,
" Highest certificate; diploma or degree","    College; CEGEP or other non-university certificate or diploma",, 5553825,, 2326940,, 3226890,, 5553825,, 2326940,, 3226890,
" Highest certificate; diploma or degree","    University certificate or diploma below bachelor level",,  813335,,  331940,,  481395,,  813335,,  331940,,  481395,
" Highest certificate; diploma or degree","    University certificate; diploma or degree at bachelor level or above",, 6659615,, 3070315,, 3589300,, 6659615,, 3070315,, 3589300,
" Highest certificate; diploma or degree","      Bachelor's degree",, 4443835,, 1967905,, 2475935,, 4443835,, 1967905,, 2475935,
" Highest certificate; diploma or degree","      University certificate or diploma above bachelor level",,  462295,,  203725,,  258570,,  462295,,  203725,,  258570,
" Highest certificate; diploma or degree","      Degree in medicine; dentistry; veterinary medicine or optometry",,  190925,,  102530,,   88395,,  190925,,  102530,,   88395,
" Highest certificate; diploma or degree","      Master's degree",, 1331045,,  651510,,  679535,, 1331045,,  651510,,  679535,
" Highest certificate; diploma or degree","      Earned doctorate",150,  231510,,  144640,,   86870,,  231510,,  144640,,   86870,
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",146,18931380,, 9268555,, 9662830,,18931380,, 9268555,, 9662830,
" Highest certificate; diploma or degree","  No certificate; diploma or degree",, 2169790,, 1200110,,  969685,, 2169790,, 1200110,,  969685,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147, 4494585,, 2247020,, 2247565,, 4494585,, 2247020,, 2247565,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,12267005,, 5821425,, 6445580,,12267005,, 5821425,, 6445580,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",, 2042430,, 1377775,,  664650,, 2042430,, 1377775,,  664650,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148, 1145035,,  639785,,  505250,, 1145035,,  639785,,  505250,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149,  897390,,  737990,,  159405,,  897390,,  737990,,  159405,
" Highest certificate; diploma or degree","    College; CEGEP or other non-university certificate or diploma",, 4241985,, 1786065,, 2455920,, 4241985,, 1786065,, 2455920,
" Highest certificate; diploma or degree","    University certificate or diploma below bachelor level",,  580885,,  240040,,  340850,,  580885,,  240040,,  340850,
" Highest certificate; diploma or degree","    University certificate; diploma or degree at bachelor level or above",, 5401705,, 2417555,, 2984155,, 5401705,, 2417555,, 2984155,
" Highest certificate; diploma or degree","      Bachelor's degree",, 3590080,, 1562160,, 2027925,, 3590080,, 1562160,, 2027925,
" Highest certificate; diploma or degree","      University certificate or diploma above bachelor level",,  362455,,  151205,,  211250,,  362455,,  151205,,  211250,
" Highest certificate; diploma or degree","      Degree in medicine; dentistry; veterinary medicine or optometry",,  153290,,   74440,,   78855,,  153290,,   74440,,   78855,
" Highest certificate; diploma or degree","      Master's degree",, 1120190,,  527335,,  592850,, 1120190,,  527335,,  592850,
" Highest certificate; diploma or degree","      Earned doctorate",150,  175685,,  102415,,   73275,,  175685,,  102415,,   73275,
"Major field of study - Classification of Instructional Programs (CIP) 2016","Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data",151,28643015,,13990430,,14652585,,28643015,,13990430,,14652585,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  No postsecondary certificate; diploma or degree",152,12815980,, 6354625,, 6461350,,12815980,, 6354625,, 6461350,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Education",, 1060095,,  251290,,  808800,, 1060095,,  251290,,  808800,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    13. Education",, 1060095,,  251290,,  808805,, 1060095,,  251290,,  808805,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Visual and performing arts; and communications technologies",,  596230,,  268050,,  328180,,  596230,,  268050,,  328180,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    10. Communications technologies/technicians and support services",,   99020,,   72865,,   26150,,   99020,,   72865,,   26150,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    50. Visual and performing arts",,  497210,,  195185,,  302025,,  497210,,  195185,,  302025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,  850840,,  330490,,  520345,,  850840,,  330490,,  520345,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,   98000,,   22100,,   75900,,   98000,,   22100,,   75900,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,  178590,,   52785,,  125810,,  178590,,   52785,,  125810,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,  275525,,  104135,,  171390,,  275525,,  104135,,  171390,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,    4160,,    1640,,    2520,,    4160,,    1640,,    2520,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,   51930,,   30185,,   21750,,   51930,,   30185,,   21750,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,   77490,,   46285,,   31200,,   77490,,   46285,,   31200,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,  111465,,   59965,,   51500,,  111465,,   59965,,   51500,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,   53680,,   13400,,   40290,,   53680,,   13400,,   40290,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",, 1761900,,  586455,, 1175445,, 1761900,,  586455,, 1175445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,   24685,,    5660,,   19025,,   24685,,    5660,,   19025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,  182275,,   68030,,  114245,,  182275,,   68030,,  114245,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,  324660,,   26065,,  298595,,  324660,,   26065,,  298595,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,  289600,,  102660,,  186945,,  289600,,  102660,,  186945,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,   35445,,    8150,,   27295,,   35445,,    8150,,   27295,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,  281470,,   71230,,  210230,,  281470,,   71230,,  210230,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,  623775,,  304660,,  319110,,  623775,,  304660,,  319110,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",, 3360045,, 1272475,, 2087565,, 3360045,, 1272475,, 2087565,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,    6190,,    1850,,    4340,,    6190,,    1850,,    4340,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,  237835,,   48815,,  189015,,  237835,,   48815,,  189015,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",, 3116025,, 1221805,, 1894215,, 3116025,, 1221805,, 1894215,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,  614280,,  315665,,  298615,,  614280,,  315665,,  298615,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,  249955,,  105560,,  144400,,  249955,,  105560,,  144400,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,  125600,,   61685,,   63915,,  125600,,   61685,,   63915,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,   28155,,   12625,,   15530,,   28155,,   12625,,   15530,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,  179305,,  122815,,   56485,,  179305,,  122815,,   56485,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    41. Science technologies/technicians",,   31270,,   12980,,   18290,,   31270,,   12980,,   18290,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,  651480,,  420370,,  231110,,  651480,,  420370,,  231110,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,  514685,,  356435,,  158250,,  514685,,  356435,,  158250,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,   40820,,    6495,,   34320,,   40820,,    6495,,   34320,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,   86655,,   50930,,   35725,,   86655,,   50930,,   35725,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,    9325,,    6510,,    2815,,    9325,,    6510,,    2815,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",, 3327405,, 3022700,,  304700,, 3327405,, 3022700,,  304700,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,  114315,,   72880,,   41435,,  114315,,   72880,,   41435,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,  752465,,  615880,,  136585,,  752465,,  615880,,  136585,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,  620065,,  551855,,   68205,,  620065,,  551855,,   68205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,     410,,      85,,     325,,     410,,      85,,     325,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,  702155,,  682710,,   19445,,  702155,,  682710,,   19445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,  731135,,  709430,,   21705,,  731135,,  709430,,   21705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,  406855,,  389850,,   17005,,  406855,,  389850,,   17005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,  339050,,  219040,,  120010,,  339050,,  219040,,  120010,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,  205930,,  127925,,   78005,,  205930,,  127925,,   78005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    03. Natural resources and conservation",,  133120,,   91115,,   42005,,  133120,,   91115,,   42005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Health and related fields",, 2266720,,  441180,, 1825545,, 2266720,,  441180,, 1825545,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    31. Parks; recreation; leisure and fitness studies",,  164295,,   81260,,   83040,,  164295,,   81260,,   83040,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",, 2047680,,  329010,, 1718670,, 2047680,,  329010,, 1718670,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,   54740,,   30910,,   23830,,   54740,,   30910,,   23830,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,  995825,,  507200,,  488630,,  995825,,  507200,,  488630,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,  565555,,  151530,,  414025,,  565555,,  151530,,  414025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,    3505,,    3080,,     420,,    3505,,    3080,,     420,
